Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"Российская Федерация";109422;223491;352669;466061;591161;715399;841326;981554;1105504;1236261;1358519;1476221;125368;242554;372172;488699;625494;753003;895689;1045601;1178055;1332379;1467866;1602387;141262;273667;406902;547115;679654;811499;975019;1123303;1274367;1434525;1566932;1717481;137503;270846;421873;564701;699919;849267;1012576;1164315;1321032;1475081;1610254;1764164;132371;267386;428336;571980;711023;868836;1027043;1186653;1337652;1487426;1636157;1789623;132954;266547;423972;557926;694490;842579;997800;1170966;1329018;1482807;1638835;1793828;143790;294334;451657;592220;752380;905739;1076688;1253395;1409264;1586925;1744197;1896263;158930;301903;447965;600878;753374;903174;1085081;1255044;1411243;1591616;1743278;1901182;153330;301512;458285;619555;777655;932460;1119676;1288678;1458766;1635071;1780880;1947301;149270;293862;454837;611830;761012;926776;1108774;1277428;1450571;1621574;1772648;1944136;142052;291064;458205;605916;762505;928377;1093717;1275460;1435279;1588095;1743177;1893256;136544;263372;411701;537235;679182;821028;969357
"  Центральный федеральный округ";24999;50539;80098;105879;135016;163853;192851;224442;252198;281619;309343;335770;27867;54001;83655;109673;140680;169967;201759;235443;264295;298330;328238;358613;30590;60201;89332;121106;151534;181160;218351;251845;285599;321385;351133;384825;30588;60833;95201;127882;159029;193043;230449;264616;300558;335597;366037;400638;30226;61186;98182;131348;163244;200232;237184;273433;307121;341999;375869;410713;30563;61188;97024;127309;157530;191979;229394;269901;305856;341061;377010;412795;32710;67420;103860;135930;173248;209717;249779;291224;326732;367006;403889;438710;35497;68242;102586;137694;173767;209156;251325;290744;325890;367582;402892;439293;35054;68620;102473;139058;176223;212059;255844;294676;333107;374154;408193;445746;34639;68280;104936;142159;178049;217447;261581;301566;341523;382209;417888;458276;33181;68514;108723;145162;183221;224149;264334;307618;345747;382653;420080;456198;32304;63243;99084;129660;164370;200138;236986
"    Белгородская область";1040;2134;3324;4368;5596;6845;8069;9458;10615;11878;13140;14269;1253;2416;3693;4826;6121;7338;8722;10196;11518;12958;14378;15666;1439;2811;3991;5388;6658;7959;9540;11054;12518;13982;15305;16810;1417;2734;4124;5451;6757;8173;9774;11210;12734;14188;15388;16911;1287;2582;4017;5321;6634;8186;9631;11124;12558;13935;15225;16669;1179;2399;3943;5205;6454;7896;9358;11012;12484;13934;15458;16894;1378;2814;4252;5483;7005;8429;10145;11910;13339;14989;16501;17913;1542;2868;4205;5509;6974;8339;10175;11853;13323;15033;16426;17883;1475;2791;4115;5527;7001;8382;10245;11795;13367;15060;16380;17822;1432;2700;4150;5579;6974;8473;10248;11800;13429;15017;16281;17864;1280;2522;4040;5419;6834;8365;9888;11551;13065;14432;15895;17261;1243;2361;3700;4735;5961;7275;8597
"    Брянская область";904;1893;2932;3868;4940;5901;6959;8080;9069;10130;11067;12042;1059;2077;3105;4080;5174;6231;7475;8715;9742;11006;12185;13283;1164;2238;3305;4464;5589;6744;8165;9422;10740;12071;13148;14319;1170;2302;3522;4716;5819;7063;8339;9602;10906;12130;13230;14406;1026;2102;3355;4515;5619;6798;7976;9195;10380;11470;12610;13773;1017;2066;3214;4207;5219;6381;7648;9005;10245;11500;12651;13806;1130;2343;3535;4596;5816;6943;8223;9577;10700;12064;13272;14376;1179;2172;3177;4319;5472;6594;7905;9152;10378;11628;12698;13855;1132;2134;3161;4262;5373;6522;7834;9005;10182;11380;12448;13658;1071;2118;3241;4371;5466;6771;8077;9326;10516;11749;12848;14067;992;2114;3336;4349;5481;6692;7815;9073;10186;11324;12347;13379;939;1912;2859;3656;4672;5664;6728
"    Владимирская область";1040;2099;3335;4398;5624;6768;7989;9322;10499;11725;12818;13915;1133;2176;3397;4443;5746;6970;8318;9688;10898;12306;13488;14679;1299;2583;3711;5064;6333;7494;9015;10376;11738;13145;14340;15699;1180;2384;3783;4991;6190;7502;8961;10313;11722;13078;14240;15520;1147;2375;3762;4984;6152;7493;8980;10369;11652;12972;14282;15540;1141;2303;3589;4792;5915;7225;8692;10267;11694;12997;14271;15644;1269;2594;4016;5244;6612;8039;9513;11068;12389;13853;15144;16445;1247;2435;3714;4979;6267;7534;9030;10429;11738;13190;14438;15777;1280;2474;3725;4926;6214;7511;9070;10455;11797;13192;14417;15817;1232;2388;3648;4943;6224;7670;9194;10765;12179;13579;14874;16284;1221;2474;3899;5123;6404;7776;9172;10666;12028;13251;14501;15662;1135;2141;3310;4310;5393;6595;7793
"    Воронежская область";1301;2780;4469;5982;7711;9266;10886;12783;14337;15993;17707;19208;1532;3084;4647;6156;7915;9496;11260;13365;15071;17201;18943;20569;1802;3520;5132;6990;8600;10226;12546;14553;16508;18694;20419;22422;1772;3455;5448;7236;9129;11089;13384;15300;17504;19604;21398;23561;1717;3473;5652;7452;9190;11456;13564;15696;17760;19762;21780;23820;1703;3431;5616;7287;8978;10840;12976;15429;17555;19510;21777;23827;1858;3881;5915;7846;10006;12025;14384;16829;18904;21369;23461;25374;2085;4066;5961;7938;9939;11817;14317;16502;18502;20942;22981;24981;2017;3967;5793;7931;10088;11991;14606;16828;19041;21378;23270;25332;1923;3874;6038;8146;10096;12261;14687;16974;19535;21722;23665;25924;1814;3718;6099;8000;10063;12157;14380;16944;19042;20909;23034;24938;1768;3466;5371;6970;8804;10705;12681
"    Ивановская область";714;1513;2342;3148;3988;4835;5694;6559;7371;8231;9089;9818;883;1639;2523;3273;4179;5075;6026;6973;7848;8894;9750;10617;879;1747;2597;3566;4455;5344;6349;7276;8224;9281;10141;11138;905;1777;2738;3630;4549;5503;6617;7578;8596;9547;10440;11330;853;1697;2696;3605;4486;5514;6474;7479;8371;9257;10152;11131;803;1621;2621;3438;4184;5155;6210;7183;8209;9110;10027;11035;862;1829;2789;3617;4633;5644;6709;7781;8629;9684;10711;11581;965;1823;2693;3715;4647;5563;6708;7768;8679;9850;10816;11769;989;1908;2807;3827;4781;5726;6838;7815;8777;9868;10717;11695;851;1714;2675;3586;4495;5527;6738;7757;8795;9855;10706;11761;805;1637;2634;3525;4499;5518;6578;7615;8549;9413;10289;11184;771;1506;2414;3158;3955;4799;5689
"    Калужская область";756;1468;2320;2988;3800;4551;5324;6243;7013;7795;8570;9263;807;1537;2297;3021;3931;4798;5700;6666;7410;8385;9203;10049;879;1669;2433;3316;4125;4903;5977;6877;7786;8737;9580;10519;850;1675;2561;3402;4210;5106;6131;7014;7988;8918;9646;10553;789;1614;2626;3544;4457;5450;6382;7374;8360;9338;10247;11180;795;1586;2546;3338;4129;5040;6025;7096;8101;9035;9992;10954;956;1929;2890;3741;4736;5723;6853;7999;8940;9985;10931;11835;950;1823;2757;3692;4714;5636;6775;7812;8760;9856;10808;11798;964;1874;2779;3750;4785;5746;6895;7911;8884;9964;10854;11882;979;1921;2936;4003;5089;6216;7388;8446;9611;10688;11671;12803;920;1834;2918;3908;4990;6067;7162;8289;9350;10302;11324;12268;905;1776;2714;3515;4460;5416;6375
"    Костромская область";553;1044;1627;2152;2779;3414;4054;4692;5302;5969;6532;7061;591;1146;1752;2298;2948;3511;4218;4909;5512;6201;6844;7457;603;1203;1883;2555;3134;3772;4562;5233;5955;6612;7156;7867;635;1228;1970;2680;3306;4019;4764;5502;6235;6909;7558;8207;579;1182;1934;2588;3244;3955;4686;5459;6086;6725;7373;8117;594;1178;1898;2477;3123;3807;4567;5363;6091;6792;7477;8128;666;1365;2089;2703;3400;4088;4899;5690;6390;7136;7798;8484;707;1372;1986;2656;3338;4033;4867;5633;6324;7051;7700;8384;699;1382;2047;2688;3326;4052;4816;5487;6232;6997;7577;8277;610;1237;1955;2627;3205;3950;4714;5435;6114;6772;7452;8156;558;1224;1927;2553;3188;3907;4573;5320;5950;6611;7231;7836;525;1052;1686;2164;2713;3328;3942
"    Курская область";790;1597;2496;3309;4236;5172;6106;7117;7958;8877;9753;10555;889;1761;2691;3563;4574;5461;6531;7593;8549;9697;10658;11704;1037;1943;2908;3995;4962;5903;7138;8156;9222;10401;11343;12443;967;1958;3037;4037;4927;6027;7186;8251;9402;10539;11472;12554;879;1842;3018;4068;4992;6099;7202;8397;9404;10497;11479;12558;953;1909;3048;3995;4976;6075;7226;8511;9656;10749;11898;12964;949;2061;3180;4160;5381;6444;7663;8860;9955;11155;12285;13318;1160;2189;3164;4170;5287;6335;7558;8670;9712;11011;11994;13077;1076;2113;3136;4268;5315;6246;7649;8727;9862;11013;12028;13118;958;1939;3003;4119;5107;6274;7524;8564;9737;10870;11861;13047;931;1874;2978;3953;5013;6109;7120;8382;9482;10419;11433;12366;867;1708;2630;3377;4271;5154;6093
