Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"Российская Федерация";209058;390666;585752;758733;952541;1130725;1298128;1474955;1639548;1821785;1995703;2165742;190699;353645;538265;706206;894581;1060166;1229863;1402345;1556994;1739065;1910552;2080068;200476;368224;546283;725190;902805;1069114;1245746;1403841;1573258;1749257;1904234;2080962;185479;343223;526371;696216;859897;1029066;1196612;1347301;1507281;1673500;1834564;2013590;176316;337017;515638;679339;841949;1010988;1193008;1384959;1544508;1703628;1862875;2030963;170508;325550;503212;658665;823962;981399;1137396;1299820;1453718;1610165;1768495;1925036;165630;324181;486607;640673;809326;962666;1120328;1274274;1418664;1586135;1739597;1898836;180734;329315;490534;652495;813218;956026;1114747;1261644;1406134;1574805;1720628;1878269;168057;317939;474515;647824;812316;943863;1104501;1273603;1431556;1597958;1743855;1913613;174723;331460;507270;671975;826830;988097;1144019;1289132;1443732;1600485;1748111;1911413;169771;326550;492857;643618;804055;960569;1107443;1267307;1417136;1567803;1724639;1887913;179410;326212;487822;630048;791048;940362;1083775
"  Центральный федеральный округ";59516;111480;167633;217025;272182;323395;370818;419834;467240;520456;571394;620293;55789;103449;156439;205230;259584;306230;353515;402438;447652;500448;550331;599174;56925;104853;156799;208122;259165;306853;356745;402551;452159;502639;547632;598830;53742;98756;150638;199231;246062;293553;341209;384375;429930;478204;524913;575620;50138;96465;146952;193286;239176;286105;343448;403152;448451;493894;537958;584555;47062;90080;138662;182399;228263;271825;314948;359522;402653;447528;492041;536093;46875;92040;137797;181181;227839;270908;314116;357234;399131;446581;490379;536160;50375;92560;138243;184273;229711;269510;313502;355588;396417;444267;485936;530314;47029;88786;133038;179115;225417;265897;311124;352303;396152;442660;483404;530211;48322;91263;139520;185156;227683;270791;313410;353316;395819;439960;481093;526751;48570;92251;137298;179057;223296;266823;308176;351345;393207;435857;478964;526159;49980;90014;134083;173780;218397;259314;299534
"    Белгородская область";2163;4139;6175;7987;10134;12095;13923;15746;17429;19339;21296;23086;2056;3840;5962;7818;9837;11601;13375;15210;16834;18730;20576;22375;2134;3986;5897;7928;9922;11638;13573;15276;17008;18857;20592;22502;2086;3811;5784;7757;9598;11363;13275;14861;16543;18338;20088;22037;1805;3591;5590;7344;9086;10878;12840;14993;16714;18499;20166;22042;1846;3596;5678;7455;9148;10965;12653;14425;16107;17934;19762;21593;1846;3745;5567;7315;9235;10915;12628;14405;16032;17949;19766;21503;1965;3693;5583;7458;9409;11003;12732;14345;15943;17935;19601;21379;1996;3757;5531;7538;9418;11031;12955;14559;16224;18123;19778;21641;1931;3714;5699;7636;9386;11152;12957;14567;16256;17988;19642;21576;1892;3671;5630;7332;9270;11156;12973;14740;16396;18023;19748;21533;1986;3612;5527;7173;8991;10685;12297
"    Брянская область";2534;4642;6958;9027;11203;13158;14974;16839;18647;20656;22695;24619;2285;4137;6148;8040;10272;11990;13851;15736;17437;19510;21477;23443;2263;4151;6292;8339;10217;12036;13897;15604;17504;19436;21178;23197;2112;3809;5932;7794;9587;11417;13075;14753;16428;18227;20052;22001;1944;3707;5587;7456;9204;10963;12993;14928;16626;18368;20029;21823;1768;3394;5325;6993;8755;10393;12022;13706;15318;17002;18777;20460;1893;3598;5290;6973;8764;10386;12069;13712;15223;16985;18676;20356;1959;3552;5246;7043;8801;10296;12000;13465;15042;16742;18276;19909;1796;3473;5127;6724;8474;10050;11684;13238;14797;16537;18054;19856;1742;3249;5054;6787;8458;10075;11682;13163;14656;16221;17791;19444;1779;3415;5095;6577;8298;9864;11323;12944;14373;15867;17452;19042;1901;3355;5021;6485;8206;9674;11123
"    Владимирская область";2710;5119;7709;9889;12470;14788;16978;19242;21407;23914;26165;28372;2492;4615;7041;9249;11750;13837;15961;18212;20246;22694;24978;27155;2663;4727;7042;9447;11777;13969;16259;18363;20665;22912;24881;27230;2431;4429;6854;9107;11252;13488;15675;17680;19834;21968;24110;26445;2255;4337;6597;8719;10858;12970;15559;17913;19987;22029;23963;26097;2156;4192;6331;8343;10488;12539;14485;16504;18493;20590;22605;24571;2094;4092;6057;7945;10144;12030;13978;15842;17700;19774;21715;23733;2180;4069;6078;8105;10098;11886;13872;15752;17724;19826;21749;23723;2017;3831;5810;7737;9780;11634;13630;15347;17432;19437;21279;23312;2024;3887;6029;8025;9936;11882;13817;15657;17533;19438;21275;23188;2118;4004;5908;7691;9674;11657;13440;15371;17273;19107;20920;22908;2166;3874;5678;7428;9410;11188;12925
"    Воронежская область";3827;7496;11288;14596;18458;21785;25058;28318;31368;34993;38393;41700;3696;6901;10449;13698;17533;20869;24082;27299;30245;33940;37252;40552;3930;7207;10527;14101;17561;20690;24116;27235;30459;33824;36884;40306;3782;6733;10258;13494;16733;19897;23337;26074;29137;32326;35375;38802;3435;6641;10259;13440;16422;19843;23306;27922;30782;33823;36853;39882;3125;5973;9655;12747;16013;19041;21997;25043;27954;30922;34056;37041;3155;6279;9316;12313;15605;18491;21326;24340;27120;30311;33222;36174;3526;6344;9502;12820;16104;18828;21844;24516;27189;30579;33394;36423;3174;6171;9187;12449;15634;18443;21539;24479;27398;30597;33332;36500;3317;6248;9768;12927;15742;18813;21791;24412;27249;30165;32751;35848;3203;6159;9252;12056;15026;18025;21189;24082;26730;29404;32383;35492;3348;6211;9298;11899;15047;17766;20410
"    Ивановская область";2188;4044;6064;7847;9776;11615;13257;14945;16628;18482;20100;21809;1961;3609;5379;6995;8810;10394;11944;13607;15238;17070;18741;20400;1981;3705;5422;7216;9043;10732;12445;13994;15758;17470;19031;20801;1907;3429;5249;6930;8623;10353;11930;13369;14937;16580;18130;19886;1666;3272;5086;6697;8277;9934;11800;13424;14978;16490;18015;19620;1630;3113;4729;6133;7693;9221;10704;12196;13592;15069;16495;17903;1527;3038;4495;5919;7514;8932;10352;11792;13185;14725;16142;17679;1649;3005;4470;6011;7480;8755;10213;11500;12813;14329;15685;17107;1490;2774;4193;5785;7251;8547;10028;11303;12772;14252;15537;17056;1567;2793;4373;5844;7165;8510;9868;11112;12452;13870;15162;16607;1543;2876;4428;5724;7100;8410;9712;11073;12390;13673;15065;16474;1569;2835;4180;5476;6898;8280;9552
"    Калужская область";1741;3319;4872;6320;7920;9451;10777;12171;13528;15004;16470;17847;1620;3012;4527;5973;7584;8924;10311;11683;13009;14542;16010;17383;1666;3024;4552;6024;7473;8893;10312;11645;13087;14577;15930;17426;1557;2860;4376;5766;7056;8373;9804;11092;12445;13845;15235;16775;1510;2882;4363;5706;7033;8425;9998;11405;12779;14131;15400;16772;1337;2615;4037;5285;6595;7910;9156;10482;11726;13030;14280;15535;1420;2718;3979;5247;6640;7947;9208;10535;11807;13196;14475;15806;1477;2670;3971;5326;6638;7750;9059;10316;11491;12823;14034;15311;1371;2607;3858;5186;6457;7692;9004;10211;11496;12872;13979;15351;1417;2634;4039;5388;6600;7855;9124;10262;11487;12745;13901;15227;1434;2682;3982;5153;6419;7691;8894;10195;11425;12690;13900;15181;1439;2654;3912;5088;6442;7678;8856
"    Костромская область";1328;2498;3703;4782;6032;7127;8164;9192;10160;11294;12290;13340;1175;2254;3351;4306;5402;6352;7299;8295;9284;10273;11378;12427;1219;2167;3208;4342;5433;6489;7522;8477;9525;10575;11467;12576;1136;2070;3152;4185;5178;6149;7142;8049;8912;9894;10810;11910;1142;2104;3167;4143;5145;6080;7121;8121;9064;9947;10856;11868;1023;1929;2907;3765;4730;5648;6556;7462;8348;9289;10098;11005;963;1891;2794;3662;4577;5434;6301;7110;7911;8844;9689;10583;989;1860;2860;3768;4679;5443;6308;7126;7910;8843;9676;10628;975;1750;2637;3553;4442;5231;6068;6840;7713;8583;9423;10391;1025;1945;2979;3900;4709;5565;6367;7131;7956;8750;9580;10457;923;1809;2651;3440;4298;5145;5889;6732;7582;8403;9215;10124;972;1694;2554;3323;4146;4937;5708
"    Курская область";2278;4218;6251;8074;10059;11818;13520;15307;16923;18866;20749;22425;1955;3569;5511;7199;9193;10863;12543;14179;15673;17510;19357;21069;2170;3848;5624;7503;9351;10986;12829;14433;16106;17839;19486;21280;1989;3558;5534;7331;8935;10617;12291;13793;15309;16948;18549;20310;1813;3470;5156;6781;8368;9989;11763;13718;15213;16722;18264;19941;1655;3149;5068;6631;8273;9798;11266;12786;14281;15773;17370;18872;1555;3168;4755;6309;7954;9406;10954;12408;13794;15440;17003;18529;1701;3090;4644;6328;7894;9280;10745;12197;13552;15200;16617;18150;1615;3172;4637;6265;7849;9297;10910;12342;13802;15484;16887;18513;1670;3142;4817;6471;7932;9481;11038;12392;13837;15299;16633;18213;1622;3153;4741;6191;7733;9333;10772;12278;13700;15101;16567;18008;1637;3162;4876;6212;7712;9128;10459
