Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"Российская Федерация";55509;117958;188756;274811;310771;422180;549655;698775;849891;945083;1031563;1113664;59495;127750;195923;302723;342054;461066;608319;771949;924645;1033059;1146020;1262581;58668;126863;212138;282666;335300;454583;580079;772670;901866;1009466;1102305;1178714;65507;146531;211781;310023;355645;473875;612102;776786;917974;1031794;1117089;1199440;62980;127835;185959;307912;349251;463245;627478;780880;924817;1046961;1133531;1215090;57949;126846;200559;294190;340554;473263;635819;793585;962095;1083806;1201987;1316109;55008;124392;187304;284705;329833;467500;611855;779940;932268;1033205;1122097;1213616;56123;122727;218070;285675;335387;481899;623253;804998;949510;1052253;1145112;1225257;59291;137108;210618;301396;360645;491385;632883;811845;948863;1057669;1143539;1225980;58050;125968;183505;280761;328448;442972;585544;746211;878147;982985;1065136;1161044;48523;104271;169138;228106;275440;390376;529109;660865;776327;859079;923171;985834;50940;114521;173704;258065;298916;410817;561185
"  Центральный федеральный округ";14845;31259;47012;68815;78199;107770;143461;182724;223204;247341;268548;287557;15433;32863;46741;76444;86973;118545;159873;202482;244261;271806;300633;328158;14601;31041;51868;66666;81959;114355;148237;198506;233400;259711;283135;300883;17591;39515;53257;79883;92746;124627;162289;207340;245820;274069;295623;314089;17083;33026;43674;77997;88950;117540;163034;203346;241212;271351;292631;311007;15401;33217;49558;73425;86415;121979;165361;207078;251675;282260;311766;338464;14061;32342;44654;70494;82236;118188;156922;201323;241666;265868;287470;308879;14213;30761;54820;68179;82324;123133;162271;211438;249401;274861;298640;317995;15406;36309;53612;78356;93986;129064;168939;217211;253217;281187;303397;322822;15717;34189;47256;74949;88679;119517;159864;203905;240234;267785;289532;313157;13118;28099;44491;57283;71411;104128;143599;179309;210710;231917;248074;263540;13495;30880;43608;67304;78392;110260;153185
"    Белгородская область";686;1437;2076;2885;3312;4552;6133;7920;9707;10847;11804;12419;739;1540;1975;3303;3666;4931;6774;8700;10680;12009;13540;14899;572;1250;2115;2575;3214;4541;5950;8141;9624;10761;11727;12375;723;1684;2152;3244;3745;4982;6432;8504;10164;11380;12285;12917;730;1329;1672;3087;3583;4643;6591;8391;10056;11427;12326;12977;655;1395;2042;2996;3506;5051;6838;8672;10729;12223;13692;14964;528;1268;1651;2710;3131;4564;6133;7968;9739;10774;11674;12400;686;1388;2392;2812;3399;5208;6805;8936;10748;11815;12804;13476;662;1534;2128;3176;3781;5289;6866;8942;10492;11629;12540;13207;641;1365;1750;2888;3368;4559;6089;7989;9650;10864;11852;12859;438;973;1529;1867;2477;3750;5133;6528;7722;8528;9079;9522;564;1269;1668;2659;3005;4321;6141
"    Брянская область";471;1096;1650;2315;2554;3616;4965;6561;7988;8753;9559;10253;480;1152;1486;2517;2791;3959;5606;7427;8935;9856;11063;12215;375;942;1697;2074;2475;3667;4908;6865;8024;8957;9852;10512;517;1353;1728;2564;2904;4008;5308;7049;8245;9159;9883;10477;522;1094;1380;2495;2795;3716;5358;6774;7971;8945;9681;10266;449;1164;1703;2367;2685;3812;5408;6998;8576;9555;10769;11793;399;1025;1348;2188;2480;3532;4990;6520;7846;8621;9382;10001;456;1047;1805;2108;2492;3781;5099;6806;8010;8747;9557;10045;449;1140;1576;2303;2688;3912;5299;7010;8082;8919;9642;10226;482;1083;1365;2168;2474;3471;4714;6266;7326;8156;8942;9736;353;790;1236;1461;1816;2772;3988;5179;6101;6687;7183;7607;376;922;1220;1866;2136;3080;4479
"    Владимирская область";473;1096;1697;2476;2768;3866;5263;6952;8659;9543;10441;11126;560;1233;1645;2745;3053;4185;5838;7659;9382;10358;11414;12330;517;1158;1916;2413;2890;4186;5529;7625;9096;10074;10963;11631;678;1538;1952;2933;3314;4450;5961;7704;9229;10229;11093;11736;595;1179;1503;2901;3232;4218;6083;7720;9236;10297;11097;11821;528;1184;1742;2609;2973;4351;6088;7815;9683;10715;11804;12809;508;1186;1574;2543;2879;4194;5786;7616;9147;9938;10750;11490;458;1052;1872;2307;2721;4202;5742;7755;9120;9969;10764;11426;578;1316;1905;2787;3216;4531;6025;7878;9262;10134;10920;11544;569;1184;1553;2504;2853;3889;5445;7150;8464;9318;10009;10716;439;905;1459;1790;2152;3276;4798;6109;7284;7955;8459;8931;425;977;1343;2105;2375;3385;5059
"    Воронежская область";945;1987;2772;4026;4649;6193;8314;10634;13486;14920;16237;17092;886;1892;2472;4271;4780;6343;8775;11413;14428;16173;18247;19826;784;1704;2803;3326;4261;6038;8030;11236;13485;14993;16381;17194;1011;2303;2906;4429;5098;6781;8992;11909;14363;15994;17333;18131;1045;1874;2359;4584;5283;6604;9432;11909;14497;16460;17805;18628;1012;2131;2964;4307;5087;7024;9644;12037;15188;17232;19351;20921;824;1764;2285;3797;4494;6448;8674;11195;13907;15384;16720;17748;806;1735;3254;3774;4724;7154;9362;12388;14862;16518;17894;18830;919;2122;3011;4392;5326;7357;9603;12644;14885;16466;17790;18688;876;1878;2460;4080;4885;6531;8839;11521;13787;15433;16829;18162;737;1526;2371;2884;3785;5552;7756;9736;11682;12923;13833;14510;817;1839;2437;3893;4558;6327;9015
"    Ивановская область";347;785;1232;1761;1967;2753;3815;5114;6312;7018;7621;8159;385;834;1298;2069;2426;3375;4564;5910;7077;7773;8436;9148;382;846;1382;1733;2089;2956;3915;5452;6431;7114;7739;8247;405;1024;1392;2022;2294;3051;4069;5316;6313;6997;7528;8028;426;848;1099;1875;2120;2862;4048;5123;6147;6811;7358;7842;332;802;1212;1846;2084;2920;4063;5257;6472;7146;7796;8445;363;836;1161;1797;2073;3048;4093;5468;6536;7064;7685;8241;335;751;1371;1724;2020;3121;4132;5619;6677;7319;7885;8384;380;926;1342;1912;2270;3150;4221;5602;6482;7086;7669;8174;384;908;1202;1823;2120;2851;3915;5149;5972;6583;7087;7629;308;643;1050;1338;1647;2459;3528;4509;5263;5695;6112;6547;298;696;986;1485;1702;2397;3493
"    Калужская область";372;803;1266;1914;2106;2872;3907;5051;6173;6740;7277;7774;375;800;1162;1947;2189;3164;4420;5705;6890;7635;8319;9105;411;832;1394;1818;2313;3263;4314;5902;6913;7739;8401;8902;439;1082;1456;2154;2554;3407;4452;5838;6776;7505;8090;8589;408;850;1124;1984;2271;2995;4252;5410;6436;7333;7853;8339;392;798;1153;1767;2094;3037;4263;5467;6543;7348;7985;8668;389;857;1161;1781;2062;3002;4100;5309;6471;7019;7483;7987;351;712;1344;1651;2008;3124;4245;5568;6544;7177;7807;8321;374;852;1342;1956;2283;3260;4338;5727;6679;7321;7926;8458;382;868;1171;1908;2242;3006;4061;5477;6407;7125;7685;8322;354;706;1126;1448;1800;2653;3780;4740;5560;6133;6546;6958;360;804;1151;1760;2041;2824;4077
"    Костромская область";306;673;1012;1438;1592;2123;2811;3661;4417;4846;5245;5681;303;702;927;1511;1664;2228;3052;3936;4654;5206;5761;6291;262;622;1049;1373;1625;2225;2904;3993;4680;5169;5633;5977;317;804;1099;1593;1764;2359;3043;3953;4712;5201;5592;5971;322;705;906;1535;1698;2293;3161;4024;4738;5286;5671;6067;310;705;1040;1477;1699;2365;3187;4092;4929;5492;6050;6561;246;649;840;1321;1501;2237;3060;3994;4731;5150;5574;5958;291;630;1074;1320;1545;2215;3005;3958;4577;5043;5454;5804;276;664;912;1308;1516;2127;2868;3765;4383;4809;5150;5511;251;543;727;1157;1317;1832;2545;3305;3873;4272;4670;5067;170;423;673;846;1024;1523;2200;2820;3355;3630;3898;4137;206;499;686;978;1134;1678;2324
"    Курская область";551;1186;1678;2337;2683;3518;4618;5762;7019;7795;8590;9082;530;1140;1586;2512;2890;3865;5217;6502;7827;8817;9987;11017;499;1060;1706;2042;2588;3526;4574;6097;7070;7916;8726;9227;566;1360;1718;2482;2911;3737;4870;6193;7248;8105;8825;9400;515;1131;1405;2479;2831;3650;4996;6197;7276;8238;8962;9387;499;1055;1539;2249;2670;3733;5040;6260;7546;8533;9594;10584;418;994;1297;2081;2443;3494;4647;5953;7148;7932;8650;9233;461;1015;1822;2066;2552;3766;4940;6355;7485;8231;8894;9398;448;1127;1596;2349;2832;3845;5016;6397;7417;8198;8886;9399;471;971;1252;2070;2443;3310;4469;5753;6763;7589;8292;8949;359;773;1228;1430;1897;2740;3763;4624;5507;6045;6473;6836;421;968;1236;1871;2174;3015;4227
