Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"Российская Федерация";41381;86891;146472;198655;256002;307160;360378;418024;469959;528037;584795;640865;53627;104850;167247;222550;282730;334568;392449;450961;504146;569278;627560;685935;55268;109356;171452;236010;293516;345827;410521;465889;525462;588621;642109;703419;50796;100895;166517;226714;282623;339478;401061;456737;518958;580539;636933;699297;50366;92112;153405;207070;256764;310467;364086;418543;472984;527292;582854;639407;43266;88060;152640;208785;266003;320302;375312;436028;492958;550673;610177;669421;45890;89421;142300;193989;251427;302705;360401;418713;471253;532803;588948;641981;53715;103782;157065;214409;267432;316239;376480;431749;483185;546407;604431;667191;58064;112556;172310;234181;290694;342135;404354;456117;516166;575407;628214;693681;46233;90313;143154;195383;241115;290665;345165;395096;448947;502566;551828;611641;43550;89719;145346;197273;246578;296733;347659;402354;451888;501962;554699;608330;46845;90509;146395;195798;247682;297512;347818
"  Центральный федеральный округ";11387;23106;39062;52624;67774;80973;94696;109331;122830;137768;152346;167352;14097;27235;43756;58359;73847;87567;102443;117454;131609;148392;163681;179560;14610;28714;45399;62218;77579;91258;107758;122119;137845;154752;169315;186234;13889;27136;45063;61205;76269;91310;107556;122045;138541;154896;170015;186843;13102;24281;40938;55088;68283;82395;96339;110369;124830;139385;154375;169505;11774;23287;40174;55051;69758;83677;97909;113265;128015;142902;158472;174079;11682;22469;36193;49479;64169;77466;92147;106950;120679;136314;150824;164715;14230;26905;41083;55920;70240;83153;98728;113485;126900;143799;159281;175840;15306;29261;44829;60718;74994;87933;103963;117967;132438;147937;161847;178701;12405;23885;37911;51818;63858;76718;90984;103824;118002;132294;145402;161463;11401;23018;37661;51224;64364;77503;90755;105050;118106;131095;145200;159704;11747;23448;38496;51858;65767;79117;92375
"    Белгородская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6949;7654;;;;;;;3786;4346;4930;5515;6080;6774;455;960;1591;2128;2669;3241;3852;4477;5049;5586;6188;6787;541;1078;1679;2218;2758;3307;3880
"    Брянская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6465;7121;;;;;;;3268;3770;4290;4780;5299;5883;379;849;1359;1805;2275;2754;3229;3772;4268;4740;5291;5804;426;858;1313;1739;2196;2612;3070
"    Владимирская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6125;6795;;;;;;;3303;3777;4260;4789;5302;5861;394;851;1337;1818;2260;2690;3156;3633;4106;4619;5105;5592;459;871;1425;1877;2390;2885;3351
"    Воронежская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10198;11204;;;;;;;5403;6164;7088;7919;8727;9666;708;1339;2187;3027;3827;4633;5416;6332;7059;7869;8777;9617;785;1417;2261;3021;3795;4539;5276
"    Ивановская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4482;4967;;;;;;;2410;2754;3130;3510;3858;4255;292;598;966;1325;1682;2043;2432;2808;3142;3484;3832;4217;290;552;922;1275;1607;1956;2292
"    Калужская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4574;5073;;;;;;;2579;2931;3324;3679;4028;4490;333;666;1086;1466;1822;2182;2584;3002;3419;3750;4124;4532;331;683;1064;1476;1873;2325;2700
"    Костромская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3019;3381;;;;;;;1586;1824;2095;2323;2544;2809;205;447;658;882;1124;1352;1554;1813;2052;2281;2491;2735;207;394;674;874;1126;1364;1597
"    Курская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5268;5820;;;;;;;2804;3222;3710;4120;4511;5001;355;707;1207;1598;1997;2417;2797;3277;3640;4032;4498;4911;357;704;1177;1572;1990;2397;2814
